"","city","driver_count","type","date","fare","ride_id"
"1","Amandaburgh",12,"Urban","1/13/2019 16:04",23.35,9.97508e+12
"2","Amandaburgh",12,"Urban","2/24/2019 23:10",43.66,6.57382e+12
"3","Amandaburgh",12,"Urban","1/21/2019 4:12",9.26,5.52843e+12
"4","Amandaburgh",12,"Urban","1/2/2019 9:57",33.06,6.33066e+12
"5","Amandaburgh",12,"Urban","3/20/2019 7:40",27.45,3.70101e+12
"6","Amandaburgh",12,"Urban","4/24/2019 8:02",14.55,7.83612e+12
"7","Amandaburgh",12,"Urban","2/6/2019 10:02",11.93,7.55033e+12
"8","Amandaburgh",12,"Urban","4/5/2019 10:22",25.55,8.58142e+12
"9","Amandaburgh",12,"Urban","3/5/2019 2:15",26.28,9.06851e+11
"10","Amandaburgh",12,"Urban","3/13/2019 12:52",13.88,6.22213e+12
"11","Amandaburgh",12,"Urban","1/29/2019 23:28",41.06,4.29686e+12
"12","Amandaburgh",12,"Urban","3/7/2019 2:26",18.76,3.41945e+12
"13","Amandaburgh",12,"Urban","1/11/2019 2:22",29.24,7.2799e+12
"14","Amandaburgh",12,"Urban","4/1/2019 9:24",24.29,1.99546e+12
"15","Amandaburgh",12,"Urban","4/20/2019 2:16",16.27,3.51312e+12
"16","Amandaburgh",12,"Urban","4/22/2019 21:34",42.52,1.90116e+12
"17","Amandaburgh",12,"Urban","4/19/2019 16:30",6.27,4.40063e+12
"18","Amandaburgh",12,"Urban","2/10/2019 20:42",36.17,6.45562e+12
"19","Barajasview",26,"Urban","1/4/2019 9:32",12.25,1.65711e+12
"20","Barajasview",26,"Urban","1/23/2019 13:23",37.68,4.10845e+12
"21","Barajasview",26,"Urban","1/14/2019 11:00",19.81,2.37626e+12
"22","Barajasview",26,"Urban","2/8/2019 18:07",24.49,2.61217e+12
"23","Barajasview",26,"Urban","3/12/2019 4:54",37.05,1.82923e+12
"24","Barajasview",26,"Urban","3/24/2019 6:34",12.24,7.66512e+11
"25","Barajasview",26,"Urban","1/12/2019 23:20",21.64,3.01003e+12
"26","Barajasview",26,"Urban","3/29/2019 1:02",29.55,3.83835e+12
"27","Barajasview",26,"Urban","1/15/2019 2:59",19.52,8.26811e+12
"28","Barajasview",26,"Urban","1/2/2019 23:23",36.13,8.56719e+12
"29","Barajasview",26,"Urban","4/9/2019 8:10",39.36,1.80161e+12
"30","Barajasview",26,"Urban","3/19/2019 12:17",26.6,5.62306e+12
"31","Barajasview",26,"Urban","3/1/2019 11:06",28.25,7.22583e+12
"32","Barajasview",26,"Urban","2/3/2019 9:58",39.39,9.438e+12
"33","Barajasview",26,"Urban","4/15/2019 20:37",17.76,8.09825e+12
"34","Barajasview",26,"Urban","2/19/2019 2:25",26.83,9.37248e+11
"35","Barajasview",26,"Urban","3/15/2019 22:44",28.3,1.31427e+12
"36","Barajasview",26,"Urban","5/6/2019 1:06",17.63,9.23321e+12
"37","Barajasview",26,"Urban","4/18/2019 8:44",12.35,6.12226e+12
"38","Barajasview",26,"Urban","1/24/2019 5:58",9.21,1.84107e+12
"39","Barajasview",26,"Urban","5/2/2019 21:02",17.12,4.62892e+12
"40","Barajasview",26,"Urban","4/3/2019 15:25",44.15,9.59616e+12
"41","Barronchester",11,"Suburban","3/31/2019 6:05",44.24,1.25289e+12
"42","Barronchester",11,"Suburban","1/9/2019 9:01",38.57,1.24687e+12
"43","Barronchester",11,"Suburban","4/7/2019 14:43",21.95,9.35581e+12
"44","Barronchester",11,"Suburban","4/2/2019 19:38",28.55,9.11268e+12
"45","Barronchester",11,"Suburban","1/27/2019 3:08",27.79,6.65362e+12
"46","Barronchester",11,"Suburban","2/18/2019 18:35",42.32,3.49352e+12
"47","Barronchester",11,"Suburban","4/5/2019 14:12",33.5,91435348621
"48","Barronchester",11,"Suburban","2/4/2019 14:59",45.75,7.21653e+12
"49","Barronchester",11,"Suburban","3/19/2019 19:18",46.42,2.88714e+12
"50","Barronchester",11,"Suburban","4/28/2019 11:49",39.19,9.91774e+12
"51","Barronchester",11,"Suburban","3/26/2019 18:27",30.32,1.77556e+12
"52","Barronchester",11,"Suburban","3/20/2019 18:52",35.09,4.84215e+12
"53","Barronchester",11,"Suburban","3/2/2019 23:36",36.49,4.03157e+12
"54","Barronchester",11,"Suburban","4/25/2019 19:11",36.13,2.66018e+12
"55","Barronchester",11,"Suburban","5/5/2019 4:03",30.38,2.28152e+12
"56","Barronchester",11,"Suburban","3/6/2019 6:36",46.07,4.55352e+12
"57","Bethanyland",22,"Suburban","3/15/2019 13:10",39.66,9.76644e+12
"58","Bethanyland",22,"Suburban","2/18/2019 9:31",38.8,9.38223e+12
"59","Bethanyland",22,"Suburban","3/26/2019 18:27",24.27,7.24723e+12
"60","Bethanyland",22,"Suburban","3/17/2019 20:29",44.81,4.17323e+12
"61","Bethanyland",22,"Suburban","1/28/2019 8:33",23.73,4.13245e+12
"62","Bethanyland",22,"Suburban","4/17/2019 22:37",28.68,3.15094e+12
"63","Bethanyland",22,"Suburban","3/14/2019 9:47",44.31,5.7853e+11
"64","Bethanyland",22,"Suburban","4/2/2019 4:29",34.38,1.78385e+12
"65","Bethanyland",22,"Suburban","4/30/2019 19:49",27.99,9.68219e+12
